id,english_title,japanese_title,brightness
1,The Great Wave off Kanagawa,神奈川沖浪裏,0.61
2,"Fine Wind, Clear Morning",凱風快晴,0.44
3,Thunderstorm Beneath the Summit,山下白雨,0.34
4,Under Mannen Bridge at Fukagawa,深川万年橋下,0.66
5,Sundai, Edo,0.64
6,The Cushion Pine at Aoyama,青山円座松,0.55
7,Senju (state station) in Musashi Province,武州千住,0.63
8,Tama River in Musashi Province,武州玉川,0.65
9,Inume Pass in Kai Province,甲州犬目峠,0.69
10,Fujimigahara Field in Owari Province,尾州不二見原,0.71
11,Asakusa Hongan Temple in Edo,東都浅草本願寺,0.65
12,Tsukuda Island in Edo,武陽佃島,0.67
13,Shichirigahama in Sagami Province,相州七里浜,0.71
14,Umezawa in Sagami Province,相州梅沢左,0.6
15,Kajikazawa in Kai Province,甲州石班沢,0.59
16,Mishima Pass in Kai Province,甲州三嶌越,0.69
17,A View of Mount Fuji Across Lake Suwa (Lake Suwa in Shinano Province),信州諏訪湖,0.75
18,Ejiri in Suruga Province,駿州江尻,0.68
19,In the Mountains of Tōtōmi Province,遠江山中,0.69
20,Ushibori in Hitachi Province,常州牛堀,0.67
21,A Sketch of the Mitsui Shop in Suruga in Edo,江都駿河町三井見世略図,0.63
22,Sunset Across Ryōgoku Bridge from Ommayagashi,御厩川岸より両国橋夕陽見,0.61
23,Sazaidō at Gohyakurakan Temple,五百らかん寺さざゐどう,0.66
24,Morning After a Snowfall at Koishikawa,礫川雪の旦,0.65
25,Shimomeguro,下目黒,0.69
26,Watermill at Onden,隠田の水車,0.67
27,Enoshima in Sagami Province,相州江の島,0.62
28,"Sketch of Tago Bay, Ejiri Along the Tōkaidō",東海道江尻田子の浦略図,0.67
29,Yoshida Along the Tōkaidō,東海道吉田,0.67
30,Kazusa Province Sea Route,上総の海路,0.7
31,Nihonbashi in Edo,江戸日本橋,0.71
32,Sekiya Village on the Sumida River,隅田川関屋の里,0.69
33,"Noboto Bay (present-day Chūō-ku, Chiba)",登戸浦,0.65
34,Hakone Lake in Sagami Province,相州箱根湖水,0.59
35,Reflection from Misaka Pass in Kai Province (in Lake Kawaguchi),甲州三坂水面,0.7
36,Hodogaya Along the Tōkaidō,東海道保土ケ谷,0.62
